mot_capverdien,traduction,categorie
abakáti,abacate,Nom
abitu,hábito,Nom
abituadu,acostumado,Adjectif
abonu,subsídio,Nom
abordu,a bordo,Adverbe
aboresidu,aborrecido / chateado,Adjectif
abortu,aborto,Nom
abribu,abrigo,Nom
abrodju,abrolhos / planta com espinhos,Nom
abuzadu,abusado / trapaceiro,Adjectif
admiradu,admirado,Adjectif
admiravel,admirável,Adjectif
admiti,admitir,Verbe
adota,adotar,Verbe
adumbulo,adúltero,Nom
afogadu,afogado,Adjectif
afronta,afronta / problema,Nom
afta,afta,Nom
agencia,agência,Nom
agenti,agente,Nom
agonia,agonia,Nom
agradavel,agradável,Adjectif
agresor,agressor,Nom
aguardenti,aguardente,Nom
agu-benta,água benta,Nom
agu-pé,pé d'água / enxurrada,Nom
aì,aí,Adverbe
ainda,ainda,Adverbe
ajill,ágil,Adjectif
ajita,agitar,Verbe
akademia,academia,Nom
akampamentu,acampamento,Nom
akaso,acaso,Nom
akordadu,acordado,Adjectif
al,talvez (futuro),Verbe
alavanka,alavanca / mudanças (carro),Nom
alegria,alegria,Nom
alegri,alegre,Adjectif
aleija,aleijar,Verbe
aleijadu,aleijado,Adjectif
alfabetu,alfabeto,Nom
alfandiga,alfândega,Nom
alfineti,alfinete,Nom
algem,algúem,Pronom
aliança,aliança,Nom
alilas,lilás / roxo,Adjectif
alimenta,alimentar,Verbe
alimento,alimento,Nom
aliviu,alívio,Nom
alkansa,alcançar,Verbe
alkol,álcool,Nom
alkoliku,alcoólico,Adjectif
alma,alma,Nom
almanak,almanaque,Nom
almiranti,almirante,Nom
almosu,almoço,Nom
almurudia,hemorróida,Nom
alta,alta (médica),Nom
altar,altar,Nom
alternativa,alternativa,Nom
altu,alto,Adjectif
aluguer,aluguer,Nom
aluminiu,alumínio,Nom
alunu,aluno,Nom
amador,amador,Nom
amanti,amante,Nom
amarela,amarela,Adjectif
amargu,amargo,Adjectif
amas,o máximo / superlativo,Adverbe
ambison,ambição,Nom
ambulansia,ambulância,Nom
ameasa,ameaça,Nom
Amen,Ámen,Expression
amendoa,amêndoa,Nom
amigu,amigo,Nom
amizadi,amizade,Nom
amor,amor,Nom
amostra,amostra,Nom
amper,ampere,Nom
amputa,amputar,Verbe
analizi,análise,Nom
anarkia,anarquia,Nom
anatomia,anatomia,Nom
anedota,anedota,Nom
anel,anel,Nom
anestesia,anestesia,Nom
anfiteatru,anfiteatro,Nom
anita,índigo / anil,Nom
aniversariu,aniversário,Nom
anjo,anjo,Nom
anonymu,anónimo,Adjectif
ansiol,anzol,Nom
antena,antena,Nom
antes,antes,Adverbe
anti-kristu,anticristo,Nom
antigu,antigo,Adjectif
antonia,Antónia,Nom
anunciu,anúncio,Nom
apaga,apagar,Verbe
apagalume,vagalume,Nom
apareliaji,aparelhagem / estéreo,Nom
aparelhu,aparelho,Nom
aparti,à parte,Adverbe
apelu,apelo,Nom
apena,apenas,Adverbe
aperta,apertar,Verbe
aplausu,aplauso,Nom
aplika,aplicar,Verbe
apoia,apoiar,Verbe
apoiu,apoio,Nom
aponta,apontar,Verbe
apostolu,apóstolo,Nom
aprendis,aprendiz,Nom
apresia,apreciar,Verbe
aprova,aprovar,Verbe
aprozima,aproximar,Verbe
aptidao,aptidão,Nom
ar,ar,Nom
arame,arame,Nom
aranha,aranha,Nom
arbi,abrir,Verbe
arbitru,árbitro,Nom
ardu,árduo,Adjectif
areia,areia,Nom
arena,arena,Nom
argola,argola,Nom
argumentu,argumento,Nom
aria,área,Nom
aritenetika,aritmética,Nom
arka,arca,Nom
arkanj,arcanjo,Nom
arkivu,arquivo,Nom
arku,arco,Nom
arku-iris,arco-íris,Nom
arma,arma,Nom
armada,armada,Nom
armadu,armado,Adjectif
armaduria,armadura,Nom
armazem,armazém,Nom
aroma,aroma,Nom
aroz,arroz,Nom
arranja,arranjar,Verbe
arrependi,arrepender,Verbe
