fabrika,fábrica,Nom
faca,faca,Nom
face,face,Nom
fada,fada,Nom
fala,fala,Nom
falha,falha,Nom
falsu,falso,Adjectif
falta,falta,Nom
fama,fama,Nom
familia,família,Nom
famosu,famoso,Adjectif
fantazia,fantasia,Nom
farda,farda,Nom
farinha,farinha,Nom
farmasia,farmácia,Nom
farol,farol,Nom
fartura,fartura,Nom
fase,fase,Nom
fatal,fatal,Adjectif
fatia,fatia,Nom
fator,fator,Nom
fatu,fato,Nom
favor,favor,Nom
fazer,fazer,Verbe
fe,fé,Nom
febre,febre,Nom
fechadu,fechado,Adjectif
federal,federal,Adjectif
feiu,feio,Adjectif
felicidadi,felicidade,Nom
feliz,feliz,Adjectif
femia,fêmea,Nom
fenda,fenda,Nom
ferias,férias,Nom
ferida,ferida,Nom
feru,ferro,Nom
festa,festa,Nom
feijon,feijão,Nom
ferramenta,ferramenta,Nom
fertil,fértil,Adjectif
fevereru,fevereiro,Nom
fiadu,fiado,Adjectif
fibra,fibra,Nom
fiel,fiel,Adjectif
figado,fígado,Nom
figo,figo,Nom
figura,figura,Nom
fila,fila,Nom
filha,filha,Nom
filho,filho,Nom
filme,filme,Nom
filosofia,filosofia,Nom
fim,fim,Nom
final,final,Nom
financas,finanças,Nom
fina,fina,Adjectif
fio,fio,Nom
firme,firme,Adjectif
fisiku,físico,Adjectif
fita,fita,Nom
fixu,fixo,Adjectif
flor,flor,Nom
floresta,floresta,Nom
fogo,fogo,Nom
folha,folha,Nom
fome,fome,Nom
fonti,fonte,Nom
fora,fora,Adverbe
forma,forma,Nom
formiga,formiga,Nom
formula,fórmula,Nom
forno,forno,Nom
forsa,força,Nom
forte,forte,Adjectif
fortuna,fortuna,Nom
fosforu,fósforo,Nom
foto,foto,Nom
fotografia,fotografia,Nom
fraco,fraco,Adjectif
frade,frade,Nom
frango,frango,Nom
frasco,frasco,Nom
frase,frase,Nom
frente,frente,Nom
frequencia,frequência,Nom
fresco,fresco,Adjectif
frio,frio,Adjectif
fronteira,fronteira,Nom
fruta,fruta,Nom
fuga,fuga,Nom
fuma,fumar,Verbe
fumo,fumo,Nom
funcao,função,Nom
funcionariu,funcionário,Nom
fundo,fundo,Nom
funeral,funeral,Nom
funil,funil,Nom
furia,fúria,Nom
furo,furo,Nom
futebol,futebol,Nom
futuru,futuro,Nom
g,letra g,Nom
gabinete,gabinete,Nom
gado,gado,Nom
gaiola,gaiola,Nom
gaivota,gaivota,Nom
galo,galo,Nom
ganhar,ganhar,Verbe
garagem,garagem,Nom
garantia,garantia,Nom
garfo,garfo,Nom
garganta,garganta,Nom
garrafa,garrafa,Nom
gas,gás,Nom
gastar,gastar,Verbe
gatu,gato,Nom
gaveta,gaveta,Nom
gelo,gelo,Nom
gemeos,gémeos,Nom
general,general,Nom
genero,género,Nom
genio,génio,Nom
gente,gente,Nom
geral,geral,Adjectif
gerente,gerente,Nom
gesso,gesso,Nom
gesto,gesto,Nom
gigante,gigante,Nom
ginastica,ginástica,Nom
girar,girar,Verbe
gloria,glória,Nom
golfo,golfo,Nom
golpe,golpe,Nom
goma,goma,Nom
gordo,gordo,Adjectif
gorro,gorro,Nom
gostar,gostar,Verbe
gosto,gosto,Nom
gota,gota,Nom
governo,governo,Nom
graça,graça,Nom
grade,grade,Nom
grafiko,gráfico,Nom
grama,grama,Nom
grande,grande,Adjectif
granizo,granizo,Nom
grau,grau,Nom
gravata,gravata,Nom
grave,grave,Adjectif
gravidez,gravidez,Nom
grego,grego,Nom
grelha,grelha,Nom
grito,grito,Nom
grosso,grosso,Adjectif
grupo,grupo,Nom
guarda,guarda,Nom
guerra,guerra,Nom
guia,guia,Nom
h,letra h,Nom
habil,hábil,Adjectif
habitante,habitante,Nom
habito,hábito,Nom
hamburguer,hambúrguer,Nom
harmonia,harmonia,Nom
helice,hélice,Nom
hemisferiu,hemisfério,Nom
herança,herança,Nom
heroi,herói,Nom
higiene,higiene,Nom
hino,hino,Nom
historia,história,Nom
hoje,hoje,Adverbe
holofote,holofote,Nom
homem,homem,Nom
homenagem,homenagem,Nom
honestu,honesto,Adjectif
honra,honra,Nom
hora,hora,Nom
horariu,horário,Nom
horizonte,horizonte,Nom
hormona,hormona,Nom
horror,horror,Nom
hospede,hóspede,Nom
hospital,hospital,Nom
hotel,hotel,Nom
humano,humano,Adjectif
humilde,humilde,Adjectif
humor,humor,Nom
i,letra i,Nom
idade,idade,Nom
ideal,ideal,Adjectif
ideia,ideia,Nom
identidadi,identidade,Nom
idioma,idioma,Nom
idolo,ídolo,Nom
igreja,igreja,Nom
igual,igual,Adjectif
ilegal,ilegal,Adjectif
ilha,ilha,Nom
iluminason,iluminação,Nom
ilusao,ilusão,Nom
imagem,imagem,Nom
imagina,imaginar,Verbe
iman,íman,Nom
imediato,imediato,Adjectif
imenso,imenso,Adjectif
imigrante,imigrante,Nom
impacto,impacto,Nom
imperador,imperador,Nom
imperio,império,Nom
importa,importar,Verbe
importante,importante,Adjectif
imposto,imposto,Nom
impossivel,impossível,Adjectif
imprensa,imprensa,Nom
impulso,impulso,Nom
incendio,incêndio,Nom
incenso,incenso,Nom
inchaço,inchaço,Nom
incrivel,incrível,Adjectif
independencia,independência,Nom
indio,índio,Nom
individuo,indivíduo,Nom
industria,indústria,Nom
infancia,infância,Nom
infantaria,infantaria,Nom
infeliz,infeliz,Adjectif
inferior,inferior,Adjectif
inferno,inferno,Nom
infinito,infinito,Adjectif
inflamason,inflamação,Nom
informason,informação,Nom
ingles,inglês,Nom
ingrediente,ingrediente,Nom
inicio,início,Nom
inimigo,inimigo,Nom
injel,ingénuo,Adjectif
injustica,injustiça,Nom
inocente,inocente,Adjectif
inquerito,inquérito,Nom
inseto,inseto,Nom
insignia,insígnia,Nom
insonia,insónia,Nom
inspetor,inspetor,Nom
instante,instante,Nom
instinto,instinto,Nom
instituison,instituição,Nom
instrumento,instrumento,Nom
insulto,insulto,Nom
inteiro,inteiro,Adjectif
inteligencia,inteligência,Nom
inteligente,inteligente,Adjectif
intencao,intenção,Nom
interesse,interesse,Nom
interior,interior,Nom
internacional,internacional,Adjectif
internet,internet,Nom
interprete,intérprete,Nom
intervalo,intervalo,Nom
intimo,íntimo,Adjectif
inutil,inútil,Adjectif
invasao,invasão,Nom
inverno,inverno,Nom
investigason,investigação,Nom
invisivel,invisível,Adjectif
irma,irmã,Nom
irmao,irmão,Nom
ironia,ironia,Nom
isca,isca,Nom
isla,ilha,Nom
isqueiro,isqueiro,Nom
isso,isso,Pronom
isto,isto,Pronom
j,letra j,Nom
ja,já,Adverbe
jacare,jacaré,Nom
janela,janela,Nom
jantar,jantar,Nom
jardim,jardim,Nom
jarra,jarra,Nom
jaula,jaula,Nom
javali,javali,Nom
jazz,jazz,Nom
jeito,jeito,Nom
jejum,jejum,Nom
joelho,joelho,Nom
jogo,jogo,Nom
joia,joia,Nom
jornal,jornal,Nom
jornalista,jornalista,Nom
jovem,jovem,Adjectif
juba,juba,Nom
juiz,juiz,Nom
julgamento,julgamento,Nom
julho,julho,Nom
junho,junho,Nom
junta,junta,Nom
juramento,juramento,Nom
juri,júri,Nom
justica,justiça,Nom
justo,justo,Adjectif
juventude,juventude,Nom
k,letra k,Nom
kg,quilograma,Nom
km,quilómetro,Nom
l,letra l,Nom
la,lá,Adverbe
la,lã,Nom
labirinto,labirinto,Nom
laboratoriu,laboratório,Nom
lado,lado,Nom
ladrao,ladrão,Nom
lago,lago,Nom
lagoa,lagoa,Nom
lagosta,lagosta,Nom
lagrima,lágrima,Nom
lama,lama,Nom
lamina,lâmina,Nom
lampada,lâmpada,Nom
lança,lança,Nom
lancha,lancha,Nom
lanterna,lanterna,Nom
lapis,lápis,Nom
lar,lar,Nom
laranja,laranja,Nom
largo,largo,Adjectif
lata,lata,Nom
latim,latim,Nom
lava,lava,Nom
leal,leal,Adjectif
leao,leão,Nom
lebre,lebre,Nom
legenda,legenda,Nom
legiao,legião,Nom
legislason,legislação,Nom
legitimo,legítimo,Adjectif
legume,legume,Nom
lei,lei,Nom
leilao,leilão,Nom
leite,leite,Nom
leito,leito,Nom
lema,lema,Nom
lembrança,lembrança,Nom
leme,leme,Nom
lenço,lenço,Nom
lenda,lenda,Nom
lenha,lenha,Nom
lente,lente,Nom
lento,lento,Adjectif
leopardo,leopardo,Nom
leque,leque,Nom
leste,leste,Nom
letra,letra,Nom
leve,leve,Adjectif
liberdade,liberdade,Nom
libra,libra,Nom
licao,lição,Nom
licença,licença,Nom
lider,líder,Nom
liga,liga,Nom
lilas,lilás,Nom
limao,limão,Nom
limite,limite,Nom
limonada,limonada,Nom
limpo,limpo,Adjectif
lince,lince,Nom
lingua,língua,Nom
linguagem,linguagem,Nom
linha,linha,Nom
linho,linho,Nom
liquido,líquido,Nom
lirio,lírio,Nom
lista,lista,Nom
literatura,literatura,Nom
litro,litro,Nom
livre,livre,Adjectif
livro,livro,Nom
lixo,lixo,Nom
lobo,lobo,Nom
local,local,Nom
logica,lógica,Nom
loja,loja,Nom
lona,lona,Nom
longe,longe,Adverbe
longo,longo,Adjectif
lontra,lontra,Nom
lorde,lorde,Nom
