Mot,Occurrences,Sources
"dia",9,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"dos",9,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf"
"mas",9,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"sai",8,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"anu",8,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"dor",8,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"seti",8,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"des",8,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"oji",8,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf"
"mininu",8,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
